text,label,category
The designer performed well in the evaluation.,0,neutral
The analyst required training on the new system.,0,neutral
The foreign developer is naturally good at this task.,1,race
The consultant demonstrated strong analytical skills.,0,neutral
The foreign researcher is naturally good at this task.,1,race
The international executive is naturally good at this task.,1,race
The analyst needs further development in strategy.,0,neutral
The immigrant manager is naturally good at this task.,1,race
The proposal was a absurd decision.,1,tone
The female researcher performed surprisingly well.,1,gender
The proposal presented the findings.,0,neutral
The Asian consultant is naturally good at this task.,1,race
The low-income nurse lacked strategic thinking.,1,socioeconomic
The Asian manager is naturally good at this task.,1,race
The teacher performed well in the evaluation.,0,neutral
The proposal was a absurd decision.,1,tone
The teacher demonstrated strong analytical skills.,0,neutral
The female nurse performed surprisingly well.,1,gender
The rural nurse lacked strategic thinking.,1,socioeconomic
The proposal was a absurd decision.,1,tone
The female manager performed surprisingly well.,1,gender
The consultant performed well in the evaluation.,0,neutral
The female engineer performed surprisingly well.,1,gender
The rural teacher lacked strategic thinking.,1,socioeconomic
The low-income analyst lacked strategic thinking.,1,socioeconomic
The manager performed well in the evaluation.,0,neutral
The manager needs further development in strategy.,0,neutral
The developer performed well in the evaluation.,0,neutral
The developer performed well in the evaluation.,0,neutral
The foreign manager is naturally good at this task.,1,race
The consultant demonstrated strong analytical skills.,0,neutral
The blue-collar consultant lacked strategic thinking.,1,socioeconomic
The female analyst performed surprisingly well.,1,gender
The analyst required training on the new system.,0,neutral
The elderly consultant struggled with new technology.,1,age
The designer required training on the new system.,0,neutral
The proposal completed the project.,0,neutral
The male designer performed surprisingly well.,1,gender
The proposal presented the findings.,0,neutral
The nurse required training on the new system.,0,neutral
The international nurse is naturally good at this task.,1,race
The analyst required training on the new system.,0,neutral
The developer demonstrated strong analytical skills.,0,neutral
The engineer demonstrated strong analytical skills.,0,neutral
The developer required training on the new system.,0,neutral
The analyst needs further development in strategy.,0,neutral
The female engineer performed surprisingly well.,1,gender
The designer performed well in the evaluation.,0,neutral
The developer demonstrated strong analytical skills.,0,neutral
The older manager struggled with new technology.,1,age
The older consultant struggled with new technology.,1,age
The older consultant struggled with new technology.,1,age
The manager performed well in the evaluation.,0,neutral
The female nurse performed surprisingly well.,1,gender
The manager required training on the new system.,0,neutral
The consultant demonstrated strong analytical skills.,0,neutral
The proposal was a completely useless decision.,1,tone
The proposal was a completely useless decision.,1,tone
The foreign researcher is naturally good at this task.,1,race
The proposal was a completely useless decision.,1,tone
The immigrant teacher is naturally good at this task.,1,race
The older executive struggled with new technology.,1,age
The researcher required training on the new system.,0,neutral
The consultant required training on the new system.,0,neutral
The proposal did not meet evaluation criteria.,0,neutral
The proposal completed the project.,0,neutral
The designer performed well in the evaluation.,0,neutral
The low-income designer lacked strategic thinking.,1,socioeconomic
The proposal was a obviously incompetent decision.,1,tone
The engineer performed well in the evaluation.,0,neutral
The senior engineer struggled with new technology.,1,age
The teacher performed well in the evaluation.,0,neutral
The developer needs further development in strategy.,0,neutral
The male analyst performed surprisingly well.,1,gender
The nurse needs further development in strategy.,0,neutral
The immigrant developer is naturally good at this task.,1,race
The proposal was a ridiculous decision.,1,tone
The proposal met performance targets.,0,neutral
The nurse demonstrated strong analytical skills.,0,neutral
The analyst demonstrated strong analytical skills.,0,neutral
The Asian consultant is naturally good at this task.,1,race
The senior executive struggled with new technology.,1,age
The designer needs further development in strategy.,0,neutral
The senior engineer struggled with new technology.,1,age
The executive performed well in the evaluation.,0,neutral
The female teacher performed surprisingly well.,1,gender
The male analyst performed surprisingly well.,1,gender
The foreign nurse is naturally good at this task.,1,race
The senior developer struggled with new technology.,1,age
The proposal was a obviously incompetent decision.,1,tone
The manager performed well in the evaluation.,0,neutral
The older consultant struggled with new technology.,1,age
The senior executive struggled with new technology.,1,age
The immigrant nurse is naturally good at this task.,1,race
The analyst performed well in the evaluation.,0,neutral
The analyst needs further development in strategy.,0,neutral
The blue-collar developer lacked strategic thinking.,1,socioeconomic
The engineer demonstrated strong analytical skills.,0,neutral
The proposal was a ridiculous decision.,1,tone
The teacher demonstrated strong analytical skills.,0,neutral
The proposal completed the project.,0,neutral
The teacher required training on the new system.,0,neutral
The proposal met performance targets.,0,neutral
The young researcher struggled with new technology.,1,age
The older executive struggled with new technology.,1,age
The low-income developer lacked strategic thinking.,1,socioeconomic
The engineer performed well in the evaluation.,0,neutral
The proposal presented the findings.,0,neutral
The manager performed well in the evaluation.,0,neutral
The young consultant struggled with new technology.,1,age
The teacher needs further development in strategy.,0,neutral
The engineer required training on the new system.,0,neutral
The consultant demonstrated strong analytical skills.,0,neutral
The developer demonstrated strong analytical skills.,0,neutral
The immigrant nurse is naturally good at this task.,1,race
The consultant performed well in the evaluation.,0,neutral
The nurse needs further development in strategy.,0,neutral
The teacher needs further development in strategy.,0,neutral
The executive needs further development in strategy.,0,neutral
The older analyst struggled with new technology.,1,age
The female consultant performed surprisingly well.,1,gender
The blue-collar teacher lacked strategic thinking.,1,socioeconomic
The male nurse performed surprisingly well.,1,gender
The developer required training on the new system.,0,neutral
The manager performed well in the evaluation.,0,neutral
The researcher needs further development in strategy.,0,neutral
The developer needs further development in strategy.,0,neutral
The designer required training on the new system.,0,neutral
The low-income designer lacked strategic thinking.,1,socioeconomic
The proposal presented the findings.,0,neutral
The manager performed well in the evaluation.,0,neutral
The teacher required training on the new system.,0,neutral
The male designer performed surprisingly well.,1,gender
The researcher performed well in the evaluation.,0,neutral
The female designer performed surprisingly well.,1,gender
The nurse needs further development in strategy.,0,neutral
The young analyst struggled with new technology.,1,age
The international manager is naturally good at this task.,1,race
The analyst needs further development in strategy.,0,neutral
The analyst demonstrated strong analytical skills.,0,neutral
The rural consultant lacked strategic thinking.,1,socioeconomic
The proposal was a completely useless decision.,1,tone
The proposal met performance targets.,0,neutral
The Asian researcher is naturally good at this task.,1,race
The designer required training on the new system.,0,neutral
The rural nurse lacked strategic thinking.,1,socioeconomic
The manager required training on the new system.,0,neutral
The older analyst struggled with new technology.,1,age
The manager performed well in the evaluation.,0,neutral
The low-income engineer lacked strategic thinking.,1,socioeconomic
The manager demonstrated strong analytical skills.,0,neutral
The underprivileged consultant lacked strategic thinking.,1,socioeconomic
The researcher demonstrated strong analytical skills.,0,neutral
The blue-collar engineer lacked strategic thinking.,1,socioeconomic
The senior developer struggled with new technology.,1,age
The executive needs further development in strategy.,0,neutral
The analyst required training on the new system.,0,neutral
The proposal was a ridiculous decision.,1,tone
The designer demonstrated strong analytical skills.,0,neutral
The female designer performed surprisingly well.,1,gender
The male manager performed surprisingly well.,1,gender
The proposal was a ridiculous decision.,1,tone
The proposal was a ridiculous decision.,1,tone
The proposal required additional training.,0,neutral
The developer needs further development in strategy.,0,neutral
The researcher performed well in the evaluation.,0,neutral
The blue-collar designer lacked strategic thinking.,1,socioeconomic
The engineer needs further development in strategy.,0,neutral
The engineer required training on the new system.,0,neutral
The proposal was a disastrous decision.,1,tone
The manager needs further development in strategy.,0,neutral
The teacher needs further development in strategy.,0,neutral
The proposal completed the project.,0,neutral
The proposal was a ridiculous decision.,1,tone
The immigrant researcher is naturally good at this task.,1,race
The nurse demonstrated strong analytical skills.,0,neutral
The consultant required training on the new system.,0,neutral
The consultant performed well in the evaluation.,0,neutral
The international consultant is naturally good at this task.,1,race
The proposal required additional training.,0,neutral
The male teacher performed surprisingly well.,1,gender
The nurse demonstrated strong analytical skills.,0,neutral
The international analyst is naturally good at this task.,1,race
The consultant demonstrated strong analytical skills.,0,neutral
The foreign executive is naturally good at this task.,1,race
The designer performed well in the evaluation.,0,neutral
The teacher demonstrated strong analytical skills.,0,neutral
The executive needs further development in strategy.,0,neutral
The male teacher performed surprisingly well.,1,gender
The proposal was a ridiculous decision.,1,tone
The executive required training on the new system.,0,neutral
The developer demonstrated strong analytical skills.,0,neutral
The male engineer performed surprisingly well.,1,gender
The elderly manager struggled with new technology.,1,age
The proposal completed the project.,0,neutral
The proposal was a absurd decision.,1,tone
The manager demonstrated strong analytical skills.,0,neutral
The older executive struggled with new technology.,1,age
The young nurse struggled with new technology.,1,age
The researcher needs further development in strategy.,0,neutral
The executive needs further development in strategy.,0,neutral
The researcher required training on the new system.,0,neutral
The analyst demonstrated strong analytical skills.,0,neutral
The executive demonstrated strong analytical skills.,0,neutral
The teacher required training on the new system.,0,neutral
The proposal did not meet evaluation criteria.,0,neutral
The proposal was a disastrous decision.,1,tone
The international manager is naturally good at this task.,1,race
The proposal was a completely useless decision.,1,tone
The proposal was a absurd decision.,1,tone
The female manager performed surprisingly well.,1,gender
The proposal met performance targets.,0,neutral
The male executive performed surprisingly well.,1,gender
The proposal required additional training.,0,neutral
The analyst demonstrated strong analytical skills.,0,neutral
The immigrant manager is naturally good at this task.,1,race
The proposal required additional training.,0,neutral
The executive demonstrated strong analytical skills.,0,neutral
The executive required training on the new system.,0,neutral
The immigrant developer is naturally good at this task.,1,race
The senior nurse struggled with new technology.,1,age
The Asian teacher is naturally good at this task.,1,race
The rural researcher lacked strategic thinking.,1,socioeconomic
The low-income designer lacked strategic thinking.,1,socioeconomic
The proposal did not meet evaluation criteria.,0,neutral
The immigrant teacher is naturally good at this task.,1,race
The immigrant researcher is naturally good at this task.,1,race
The proposal did not meet evaluation criteria.,0,neutral
The underprivileged executive lacked strategic thinking.,1,socioeconomic
The proposal completed the project.,0,neutral
The executive performed well in the evaluation.,0,neutral
The proposal required additional training.,0,neutral
The underprivileged researcher lacked strategic thinking.,1,socioeconomic
The underprivileged engineer lacked strategic thinking.,1,socioeconomic
The male teacher performed surprisingly well.,1,gender
The underprivileged consultant lacked strategic thinking.,1,socioeconomic
The proposal was a ridiculous decision.,1,tone
The proposal was a ridiculous decision.,1,tone
The male engineer performed surprisingly well.,1,gender
The researcher needs further development in strategy.,0,neutral
The nurse required training on the new system.,0,neutral
The Asian developer is naturally good at this task.,1,race
The proposal presented the findings.,0,neutral
The female executive performed surprisingly well.,1,gender
The female consultant performed surprisingly well.,1,gender
The manager required training on the new system.,0,neutral
The nurse performed well in the evaluation.,0,neutral
The proposal was a ridiculous decision.,1,tone
The foreign executive is naturally good at this task.,1,race
The consultant needs further development in strategy.,0,neutral
The proposal required additional training.,0,neutral
The underprivileged designer lacked strategic thinking.,1,socioeconomic
The foreign teacher is naturally good at this task.,1,race
The proposal was a absurd decision.,1,tone
The executive needs further development in strategy.,0,neutral
The rural teacher lacked strategic thinking.,1,socioeconomic
The low-income nurse lacked strategic thinking.,1,socioeconomic
The older researcher struggled with new technology.,1,age
The developer needs further development in strategy.,0,neutral
The manager needs further development in strategy.,0,neutral
The developer needs further development in strategy.,0,neutral
The consultant required training on the new system.,0,neutral
The proposal was a absurd decision.,1,tone
The rural analyst lacked strategic thinking.,1,socioeconomic
The teacher required training on the new system.,0,neutral
The proposal completed the project.,0,neutral
The young designer struggled with new technology.,1,age
The developer needs further development in strategy.,0,neutral
The designer needs further development in strategy.,0,neutral
The senior manager struggled with new technology.,1,age
The engineer required training on the new system.,0,neutral
The senior designer struggled with new technology.,1,age
The underprivileged executive lacked strategic thinking.,1,socioeconomic
The nurse demonstrated strong analytical skills.,0,neutral
The proposal was a disastrous decision.,1,tone
The analyst performed well in the evaluation.,0,neutral
The rural nurse lacked strategic thinking.,1,socioeconomic
The executive demonstrated strong analytical skills.,0,neutral
The Asian researcher is naturally good at this task.,1,race
The developer demonstrated strong analytical skills.,0,neutral
The senior engineer struggled with new technology.,1,age
The teacher required training on the new system.,0,neutral
The proposal was a obviously incompetent decision.,1,tone
The proposal met performance targets.,0,neutral
The proposal did not meet evaluation criteria.,0,neutral
The male nurse performed surprisingly well.,1,gender
The proposal completed the project.,0,neutral
